Domain name,Domain type,Agency,City,State,Local municipality,Country,ORGNR,Sektorkode
alv-more.no,Local or regional government,Ålesund Kommune,Ålesund,Møre og Romsdal,Ålesund,Norway,942953119,6500 - Kommuneforvaltningen
alv-moreogromsdal.no,Local or regional government,Ålesund Kommune,Ålesund,Møre og Romsdal,Ålesund,Norway,942953119,6500 - Kommuneforvaltningen
amaldhus.no,Local or regional government,Oslo Kommune Bydel 5 Frogner,Oslo,Oslo,Oslo,Norway,874778702,6500 - Kommuneforvaltningen
amblie.no,Local or regional government,Stiftelsen Lillehammer Museum,Lillehammer,Oppland,Lillehammer,Norway,955378024,6500 - Kommuneforvaltningen
amboltenkulturhus.no,Local or regional government,Malvik Kommune,Hommelvik,Sør-Trøndelag,Malvik,Norway,971035560,6500 - Kommuneforvaltningen
amicusbarnehage.no,Local or regional government,Drammen Kirkelig Fellesråd,Drammen,Buskerud,Drammen,Norway,976989732,6500 - Kommuneforvaltningen
amlibibliotek.no,Local or regional government,Vest-Agder Fylkeskommune,Kristiansand S,Vest-Agder,Kristiansand,Norway,960895827,6500 - Kommuneforvaltningen
amotmarka-barnehage.no,Local or regional government,Kvinesdal Kommune,Kvinesdal,Vest-Agder,Kvinesdal,Norway,964964076,6500 - Kommuneforvaltningen
analysesenteret.no,Local or regional government,Trondheim Kommune,Trondheim,Sør-Trøndelag,Trondheim,Norway,942110464,6500 - Kommuneforvaltningen
andalsneskino.no,Local or regional government,Rauma Kommune,Åndalsnes,Møre og Romsdal,Rauma,Norway,864980902,6500 - Kommuneforvaltningen
andebuskole.no,Local or regional government,Andebu Kommune,Andebu,Vestfold,Andebu,Norway,964952078,6500 - Kommuneforvaltningen
andebu-ungdomsskole.no,Local or regional government,Andebu Kommune,Andebu,Vestfold,Andebu,Norway,964952078,6500 - Kommuneforvaltningen
andenesskole.no,Local or regional government,Andøy Kommune,Andenes,Nordland,Andøy,Norway,945624809,6500 - Kommuneforvaltningen
andslimoenmiljoarbeidertjeneste.no,Local or regional government,Målselv Kommune,Moen,Troms,Målselv,Norway,972418005,6500 - Kommuneforvaltningen
andsvannet.no,Local or regional government,Målselv Kommune,Moen,Troms,Målselv,Norway,972418005,6500 - Kommuneforvaltningen
andywarhol.no,Local or regional government,Vestfoldmuseene Iks,Sandefjord,Vestfold,Sandefjord,Norway,993871184,6500 - Kommuneforvaltningen
aneasylife.no,Local or regional government,Flekkefjord Kommune,Flekkefjord,Vest-Agder,Flekkefjord,Norway,964967369,6500 - Kommuneforvaltningen
anebybarnehage.no,Local or regional government,Nittedal Kommune,Hagan,Akershus,Nittedal,Norway,971643870,6500 - Kommuneforvaltningen
ankern.no,Local or regional government,Ankerskogen Svømmehall Hamar Kf,Hamar,Hedmark,Hamar,Norway,983492975,6500 - Kommuneforvaltningen
ankerskogen.no,Local or regional government,Ankerskogen Svømmehall Hamar Kf,Hamar,Hedmark,Hamar,Norway,983492975,6500 - Kommuneforvaltningen
ankerskogen-badeland.no,Local or regional government,Ankerskogen Svømmehall Hamar Kf,Hamar,Hedmark,Hamar,Norway,983492975,6500 - Kommuneforvaltningen
anno-x.no,Local or regional government,Oslo Kommune Kulturetaten,Oslo,Oslo,Oslo,Norway,992410213,6500 - Kommuneforvaltningen
ansatte.evenes.no,Local or regional government,Evenes Kommune,Bogen I Ofoten,Nordland,Evenes,Norway,940642140,6500 - Kommuneforvaltningen
ansigass.no,Local or regional government,Oppdal Kommune,Oppdal,Sør-Trøndelag,Oppdal,Norway,964983003,6500 - Kommuneforvaltningen
aoga.no,Local or regional government,Rogaland Fylkeskommune Opplæringsavdelingen,Stavanger,Rogaland,Stavanger,Norway,974778483,6500 - Kommuneforvaltningen
aokbil.no,Local or regional government,Larvik Kommune,Larvik,Vestfold,Larvik,Norway,948930560,6500 - Kommuneforvaltningen
aok-larvik.no,Local or regional government,Larvik Kommune,Larvik,Vestfold,Larvik,Norway,948930560,6500 - Kommuneforvaltningen
aokposten.no,Local or regional government,Larvik Kommune,Larvik,Vestfold,Larvik,Norway,948930560,6500 - Kommuneforvaltningen
aor.no,Local or regional government,Eidsvoll Kommune,Eidsvoll,Akershus,Eidsvoll,Norway,964950113,6500 - Kommuneforvaltningen
aosenteret.no,Local or regional government,Vaksdal Kommune,Dalekvam,Hordaland,Vaksdal,Norway,961821967,6500 - Kommuneforvaltningen
apenfolkekirke.no,Local or regional government,Vågan Sokn,Kabelvåg,Nordland,Vågan,Norway,977000750,6500 - Kommuneforvaltningen
arasskule.no,Local or regional government,Austrheim Kommune,Austrheim,Hordaland,Austrheim,Norway,948350823,6500 - Kommuneforvaltningen
arbeideren.no,Local or regional government,Ålesund Kommune,Ålesund,Møre og Romsdal,Ålesund,Norway,942953119,6500 - Kommuneforvaltningen
arbeidskirken.no,Local or regional government,Larvik Kirkelige Fellesråd,Larvik,Vestfold,Larvik,Norway,976990803,6500 - Kommuneforvaltningen
arbeidslivetskulturseilas.no,Local or regional government,Vestfold Fylkeskommune,Tønsberg,Vestfold,Tønsberg,Norway,944025391,6500 - Kommuneforvaltningen
arbeidsmiljo.rissa.no,Local or regional government,Rissa Kommune,Rissa,Sør-Trøndelag,Rissa,Norway,944305483,6500 - Kommuneforvaltningen
arbeidsmiljobloggen.no,Local or regional government,Rissa Kommune,Rissa,Sør-Trøndelag,Rissa,Norway,944305483,6500 - Kommuneforvaltningen
arbeidsmiljobloggen.rissa.no,Local or regional government,Rissa Kommune,Rissa,Sør-Trøndelag,Rissa,Norway,944305483,6500 - Kommuneforvaltningen
arcticairlink.no,Local or regional government,Troms Fylkeskommune,Tromsø,Troms,Tromsø,Norway,864870732,6500 - Kommuneforvaltningen
arctic-capital.no,Local or regional government,Tromsø Kommune,Tromsø,Troms,Tromsø,Norway,940101808,6500 - Kommuneforvaltningen
arcticchamberorchestra.no,Local or regional government,Nordnorsk Opera og Symfoniorkester AS,Tromsø,Nordland,Bodø,Norway,994387693,6500 - Kommuneforvaltningen
arcticphilharmonic.no,Local or regional government,Nordnorsk Opera og Symfoniorkester AS,Tromsø,Nordland,Bodø,Norway,994387693,6500 - Kommuneforvaltningen
arcticphilharmonicorchestra.no,Local or regional government,Nordnorsk Opera og Symfoniorkester AS,Tromsø,Nordland,Bodø,Norway,994387693,6500 - Kommuneforvaltningen
arcticracebardu.no,Local or regional government,Bardu Kommune,Bardu,Troms,Bardu,Norway,864993982,6500 - Kommuneforvaltningen
arcticsinfonietta.no,Local or regional government,Nordnorsk Opera og Symfoniorkester AS,Tromsø,Nordland,Bodø,Norway,994387693,6500 - Kommuneforvaltningen
ardalbibliotek.no,Local or regional government,Årdal Kommune,Årdalstangen,Sogn og Fjordane,Årdal,Norway,954679721,6500 - Kommuneforvaltningen
